"Iteration","Time_si","Optimization","omega","omega_si","nu","nu_si","omegaT","omegaT_si","K","K_si","Descent","Descent_si","GradientSmooth","GradientSmooth_si","Threshold","Threshold_si","MovingWallVelocity-Blobb","MovingWallVelocity-Blobb_si","MovingWallVelocity-DefaultZone","MovingWallVelocity-DefaultZone_si","Velocity-Blobb","Velocity-Blobb_si","Velocity-DefaultZone","Velocity-DefaultZone_si","Pressure-Blobb","Pressure-Blobb_si","Pressure-DefaultZone","Pressure-DefaultZone_si","Temperature-Blobb","Temperature-Blobb_si","Temperature-DefaultZone","Temperature-DefaultZone_si","TotalTempSqrInObj-Blobb","TotalTempSqrInObj-Blobb_si","TotalTempSqrInObj-DefaultZone","TotalTempSqrInObj-DefaultZone_si","CountCellsInObj-Blobb","CountCellsInObj-Blobb_si","CountCellsInObj-DefaultZone","CountCellsInObj-DefaultZone_si","NMovingWallForceInObj-Blobb","NMovingWallForceInObj-Blobb_si","NMovingWallForceInObj-DefaultZone","NMovingWallForceInObj-DefaultZone_si","SWallForceInObj-Blobb","SWallForceInObj-Blobb_si","SWallForceInObj-DefaultZone","SWallForceInObj-DefaultZone_si","MovingWallPowerInObj-Blobb","MovingWallPowerInObj-Blobb_si","MovingWallPowerInObj-DefaultZone","MovingWallPowerInObj-DefaultZone_si","TotalTempSqr","TotalTempSqr_si","CountCells","CountCells_si","NMovingWallForce","NMovingWallForce_si","SWallForce","SWallForce_si","MovingWallPower","MovingWallPower_si","omega_D","omega_D_si","nu_D","nu_D_si","omegaT_D","omegaT_D_si","K_D","K_D_si","AdjointRes","AdjointRes_si","Objective","Objective_si","dx_si","dt_si","dm_si"
100, 1.0000000000000e+02, 0, 1.2500000000000e+00, 1.2500000000000e+00, 1.0000000000000e-01, 1.0000000000000e-01, 1.9417475728155e+00, 1.9417475728155e+00, 5.0000000000000e-03, 5.0000000000000e-03, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 5.0000000000000e-01, 5.0000000000000e-01, 1.0000000000000e-01, 1.0000000000000e-01, 1.0000000000000e-01, 1.0000000000000e-01, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 1.0000000000000e+00, 1.0000000000000e+00, -1.0000000000000e+00, -1.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 1.5478463706668e+04, 1.5478463706668e+04, 1.6002000000000e+04, 1.6002000000000e+04, 2.9315190884308e-01, 2.9315190884308e-01, 0.0000000000000e+00, 0.0000000000000e+00, 3.5944493751408e-01, 3.5944493751408e-01, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 1.0000000000000e+00, 1.0000000000000e+00, 1.0000000000000e+00
200, 2.0000000000000e+02, 0, 1.2500000000000e+00, 1.2500000000000e+00, 1.0000000000000e-01, 1.0000000000000e-01, 1.9417475728155e+00, 1.9417475728155e+00, 5.0000000000000e-03, 5.0000000000000e-03, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 5.0000000000000e-01, 5.0000000000000e-01, 1.0000000000000e-01, 1.0000000000000e-01, 1.0000000000000e-01, 1.0000000000000e-01, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 1.0000000000000e+00, 1.0000000000000e+00, -1.0000000000000e+00, -1.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 1.5348419297602e+04, 1.5348419297602e+04, 1.6002000000000e+04, 1.6002000000000e+04, 2.4812247737954e-01, 2.4812247737954e-01, 0.0000000000000e+00, 0.0000000000000e+00, 3.6702056660167e-01, 3.6702056660167e-01, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 1.0000000000000e+00, 1.0000000000000e+00, 1.0000000000000e+00
300, 3.0000000000000e+02, 0, 1.2500000000000e+00, 1.2500000000000e+00, 1.0000000000000e-01, 1.0000000000000e-01, 1.9417475728155e+00, 1.9417475728155e+00, 5.0000000000000e-03, 5.0000000000000e-03, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 5.0000000000000e-01, 5.0000000000000e-01, 1.0000000000000e-01, 1.0000000000000e-01, 1.0000000000000e-01, 1.0000000000000e-01, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 1.0000000000000e+00, 1.0000000000000e+00, -1.0000000000000e+00, -1.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 1.5243192235098e+04, 1.5243192235098e+04, 1.6002000000000e+04, 1.6002000000000e+04, 2.1374832485866e-01, 2.1374832485866e-01, 0.0000000000000e+00, 0.0000000000000e+00, 3.7302706078259e-01, 3.7302706078259e-01, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 1.0000000000000e+00, 1.0000000000000e+00, 1.0000000000000e+00
400, 4.0000000000000e+02, 0, 1.2500000000000e+00, 1.2500000000000e+00, 1.0000000000000e-01, 1.0000000000000e-01, 1.9417475728155e+00, 1.9417475728155e+00, 5.0000000000000e-03, 5.0000000000000e-03, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 5.0000000000000e-01, 5.0000000000000e-01, 1.0000000000000e-01, 1.0000000000000e-01, 1.0000000000000e-01, 1.0000000000000e-01, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 1.0000000000000e+00, 1.0000000000000e+00, -1.0000000000000e+00, -1.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 1.5148896293572e+04, 1.5148896293572e+04, 1.6002000000000e+04, 1.6002000000000e+04, 1.9429172152716e-01, 1.9429172152716e-01, 0.0000000000000e+00, 0.0000000000000e+00, 3.7628544855487e-01, 3.7628544855487e-01, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 1.0000000000000e+00, 1.0000000000000e+00, 1.0000000000000e+00
500, 5.0000000000000e+02, 0, 1.2500000000000e+00, 1.2500000000000e+00, 1.0000000000000e-01, 1.0000000000000e-01, 1.9417475728155e+00, 1.9417475728155e+00, 5.0000000000000e-03, 5.0000000000000e-03, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 5.0000000000000e-01, 5.0000000000000e-01, 1.0000000000000e-01, 1.0000000000000e-01, 1.0000000000000e-01, 1.0000000000000e-01, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 1.0000000000000e+00, 1.0000000000000e+00, -1.0000000000000e+00, -1.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 1.5060386226668e+04, 1.5060386226668e+04, 1.6002000000000e+04, 1.6002000000000e+04, 1.9778973023942e-01, 1.9778973023942e-01, 0.0000000000000e+00, 0.0000000000000e+00, 3.7559017776392e-01, 3.7559017776392e-01, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 1.0000000000000e+00, 1.0000000000000e+00, 1.0000000000000e+00
600, 6.0000000000000e+02, 0, 1.2500000000000e+00, 1.2500000000000e+00, 1.0000000000000e-01, 1.0000000000000e-01, 1.9417475728155e+00, 1.9417475728155e+00, 5.0000000000000e-03, 5.0000000000000e-03, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 5.0000000000000e-01, 5.0000000000000e-01, 1.0000000000000e-01, 1.0000000000000e-01, 1.0000000000000e-01, 1.0000000000000e-01, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 1.0000000000000e+00, 1.0000000000000e+00, -1.0000000000000e+00, -1.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 1.4975667581652e+04, 1.4975667581652e+04, 1.6002000000000e+04, 1.6002000000000e+04, 1.8565168940352e-01, 1.8565168940352e-01, 0.0000000000000e+00, 0.0000000000000e+00, 3.7771677912182e-01, 3.7771677912182e-01, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 1.0000000000000e+00, 1.0000000000000e+00, 1.0000000000000e+00
700, 7.0000000000000e+02, 0, 1.2500000000000e+00, 1.2500000000000e+00, 1.0000000000000e-01, 1.0000000000000e-01, 1.9417475728155e+00, 1.9417475728155e+00, 5.0000000000000e-03, 5.0000000000000e-03, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 5.0000000000000e-01, 5.0000000000000e-01, 1.0000000000000e-01, 1.0000000000000e-01, 1.0000000000000e-01, 1.0000000000000e-01, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 1.0000000000000e+00, 1.0000000000000e+00, -1.0000000000000e+00, -1.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 1.4890710964066e+04, 1.4890710964066e+04, 1.6002000000000e+04, 1.6002000000000e+04, 1.8901375932189e-01, 1.8901375932189e-01, 0.0000000000000e+00, 0.0000000000000e+00, 3.7705747534736e-01, 3.7705747534736e-01, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 1.0000000000000e+00, 1.0000000000000e+00, 1.0000000000000e+00
800, 8.0000000000000e+02, 0, 1.2500000000000e+00, 1.2500000000000e+00, 1.0000000000000e-01, 1.0000000000000e-01, 1.9417475728155e+00, 1.9417475728155e+00, 5.0000000000000e-03, 5.0000000000000e-03, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 5.0000000000000e-01, 5.0000000000000e-01, 1.0000000000000e-01, 1.0000000000000e-01, 1.0000000000000e-01, 1.0000000000000e-01, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 1.0000000000000e+00, 1.0000000000000e+00, -1.0000000000000e+00, -1.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 1.4809074146358e+04, 1.4809074146358e+04, 1.6002000000000e+04, 1.6002000000000e+04, 1.8568405787837e-01, 1.8568405787837e-01, 0.0000000000000e+00, 0.0000000000000e+00, 3.7772872408611e-01, 3.7772872408611e-01, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 1.0000000000000e+00, 1.0000000000000e+00, 1.0000000000000e+00
900, 9.0000000000000e+02, 0, 1.2500000000000e+00, 1.2500000000000e+00, 1.0000000000000e-01, 1.0000000000000e-01, 1.9417475728155e+00, 1.9417475728155e+00, 5.0000000000000e-03, 5.0000000000000e-03, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 5.0000000000000e-01, 5.0000000000000e-01, 1.0000000000000e-01, 1.0000000000000e-01, 1.0000000000000e-01, 1.0000000000000e-01, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 1.0000000000000e+00, 1.0000000000000e+00, -1.0000000000000e+00, -1.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 1.4730279103453e+04, 1.4730279103453e+04, 1.6002000000000e+04, 1.6002000000000e+04, 1.7315715832286e-01, 1.7315715832286e-01, 0.0000000000000e+00, 0.0000000000000e+00, 3.7993813523614e-01, 3.7993813523614e-01, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 1.0000000000000e+00, 1.0000000000000e+00, 1.0000000000000e+00
1000, 1.0000000000000e+03, 0, 1.2500000000000e+00, 1.2500000000000e+00, 1.0000000000000e-01, 1.0000000000000e-01, 1.9417475728155e+00, 1.9417475728155e+00, 5.0000000000000e-03, 5.0000000000000e-03, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 5.0000000000000e-01, 5.0000000000000e-01, 1.0000000000000e-01, 1.0000000000000e-01, 1.0000000000000e-01, 1.0000000000000e-01, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 1.0000000000000e+00, 1.0000000000000e+00, -1.0000000000000e+00, -1.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 1.4653994794301e+04, 1.4653994794301e+04, 1.6002000000000e+04, 1.6002000000000e+04, 1.7073290582797e-01, 1.7073290582797e-01, 0.0000000000000e+00, 0.0000000000000e+00, 3.8016688373326e-01, 3.8016688373326e-01, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 0.0000000000000e+00, 1.0000000000000e+00, 1.0000000000000e+00, 1.0000000000000e+00
