"arc_length"	"U_X"
0	0
0.1	0
0.2	0
0.3	0
0.4	0
0.5	0
0.6	0
0.7	0
0.8	0
0.9	0
1	0
1.1	0
1.2	0
1.3	0
1.4	0
1.5	0
1.6	0
1.7	0
1.8	0
1.9	0
2	0
2.1	9.94858e-07
2.2	9.94858e-07
2.3	9.94858e-07
2.4	9.94858e-07
2.5	9.94858e-07
2.6	9.94858e-07
2.7	9.94858e-07
2.8	9.94858e-07
2.9	9.94858e-07
3	9.94858e-07
3.1	2.98457e-06
3.2	2.98457e-06
3.3	2.98457e-06
3.4	2.98457e-06
3.5	2.98457e-06
3.6	2.98457e-06
3.7	2.98457e-06
3.8	2.98457e-06
3.9	2.98457e-06
4	2.98457e-06
4.1	4.97428e-06
4.2	4.97428e-06
4.3	4.97428e-06
4.4	4.97428e-06
4.5	4.97428e-06
4.6	4.97428e-06
4.7	4.97428e-06
4.8	4.97428e-06
4.9	4.97428e-06
5	4.97428e-06
5.1	6.964e-06
5.2	6.964e-06
5.3	6.964e-06
5.4	6.964e-06
5.5	6.964e-06
5.6	6.964e-06
5.7	6.964e-06
5.8	6.964e-06
5.9	6.964e-06
6	6.964e-06
6.1	8.95371e-06
6.2	8.95371e-06
6.3	8.95371e-06
6.4	8.95371e-06
6.5	8.95371e-06
6.6	8.95371e-06
6.7	8.95371e-06
6.8	8.95371e-06
6.9	8.95371e-06
7	8.95371e-06
7.1	1.09434e-05
7.2	1.09434e-05
7.3	1.09434e-05
7.4	1.09434e-05
7.5	1.09434e-05
7.6	1.09434e-05
7.7	1.09434e-05
7.8	1.09434e-05
7.9	1.09434e-05
8	1.09434e-05
8.1	1.29331e-05
8.2	1.29331e-05
8.3	1.29331e-05
8.4	1.29331e-05
8.5	1.29331e-05
8.6	1.29331e-05
8.7	1.29331e-05
8.8	1.29331e-05
8.9	1.29331e-05
9	1.29331e-05
9.1	1.49228e-05
9.2	1.49228e-05
9.3	1.49228e-05
9.4	1.49228e-05
9.5	1.49228e-05
9.6	1.49228e-05
9.7	1.49228e-05
9.8	1.49228e-05
9.9	1.49228e-05
10	1.49228e-05
10.1	1.69126e-05
10.2	1.69126e-05
10.3	1.69126e-05
10.4	1.69126e-05
10.5	1.69126e-05
10.6	1.69126e-05
10.7	1.69126e-05
10.8	1.69126e-05
10.9	1.69126e-05
11	1.69126e-05
11.1	1.89023e-05
11.2	1.89023e-05
11.3	1.89023e-05
11.4	1.89023e-05
11.5	1.89023e-05
11.6	1.89023e-05
11.7	1.89023e-05
11.8	1.89023e-05
11.9	1.89023e-05
12	1.89023e-05
12.1	2.0892e-05
12.2	2.0892e-05
12.3	2.0892e-05
12.4	2.0892e-05
12.5	2.0892e-05
12.6	2.0892e-05
12.7	2.0892e-05
12.8	2.0892e-05
12.9	2.0892e-05
13	2.0892e-05
13.1	2.28817e-05
13.2	2.28817e-05
