"arc_length"	"U_Magnitude_cm_Guo"
0	0
0.1	0
0.2	0
0.3	0
0.4	0
0.5	0
0.6	0
0.7	0
0.8	0
0.9	0
1	0
1.1	0.0014638
1.2	0.0014638
1.3	0.0014638
1.4	0.0014638
1.5	0.0014638
1.6	0.0014638
1.7	0.0014638
1.8	0.0014638
1.9	0.0014638
2	0.0014638
2.1	0.00225194
2.2	0.00225194
2.3	0.00225194
2.4	0.00225194
2.5	0.00225194
2.6	0.00225194
2.7	0.00225194
2.8	0.00225194
2.9	0.00225194
3	0.00225194
3.1	0.00302565
3.2	0.00302565
3.3	0.00302565
3.4	0.00302565
3.5	0.00302565
3.6	0.00302565
3.7	0.00302565
3.8	0.00302565
3.9	0.00302565
4	0.00302565
4.1	0.00378553
4.2	0.00378553
4.3	0.00378553
4.4	0.00378553
4.5	0.00378553
4.6	0.00378553
4.7	0.00378553
4.8	0.00378553
4.9	0.00378553
5	0.00378553
5.1	0.00453203
5.2	0.00453203
5.3	0.00453203
5.4	0.00453203
5.5	0.00453203
5.6	0.00453203
5.7	0.00453203
5.8	0.00453203
5.9	0.00453203
6	0.00453203
6.1	0.00526549
6.2	0.00526549
6.3	0.00526549
6.4	0.00526549
6.5	0.00526549
6.6	0.00526549
6.7	0.00526549
6.8	0.00526549
6.9	0.00526549
7	0.00526549
7.1	0.00598618
7.2	0.00598618
7.3	0.00598618
7.4	0.00598618
7.5	0.00598618
7.6	0.00598618
7.7	0.00598618
7.8	0.00598618
7.9	0.00598618
8	0.00598618
8.1	0.00669436
8.2	0.00669436
8.3	0.00669436
8.4	0.00669436
8.5	0.00669436
8.6	0.00669436
8.7	0.00669436
8.8	0.00669436
8.9	0.00669436
9	0.00669436
9.1	0.0073902
9.2	0.0073902
9.3	0.0073902
9.4	0.0073902
9.5	0.0073902
9.6	0.0073902
9.7	0.0073902
9.8	0.0073902
9.9	0.0073902
10	0.0073902
10.1	0.00807387
10.2	0.00807387
10.3	0.00807387
10.4	0.00807387
10.5	0.00807387
10.6	0.00807387
10.7	0.00807387
10.8	0.00807387
10.9	0.00807387
11	0.00807387
11.1	0.0087455
11.2	0.0087455
11.3	0.0087455
11.4	0.0087455
11.5	0.0087455
11.6	0.0087455
11.7	0.0087455
11.8	0.0087455
11.9	0.0087455
12	0.0087455
12.1	0.0094052
12.2	0.0094052
12.3	0.0094052
12.4	0.0094052
12.5	0.0094052
12.6	0.0094052
12.7	0.0094052
12.8	0.0094052
12.9	0.0094052
13	0.0094052
13.1	0.0100531
13.2	0.0100531
13.3	0.0100531
13.4	0.0100531
13.5	0.0100531
13.6	0.0100531
13.7	0.0100531
13.8	0.0100531
13.9	0.0100531
14	0.0100531
14.1	0.0106893
14.2	0.0106893
14.3	0.0106893
14.4	0.0106893
14.5	0.0106893
14.6	0.0106893
14.7	0.0106893
14.8	0.0106893
