"arc_length"	"U_Magnitude_cm_He"
0	0
0.1	0
0.2	0
0.3	0
0.4	0
0.5	0
0.6	0
0.7	0
0.8	0
0.9	0
1	0
1.1	0.00146373
1.2	0.00146373
1.3	0.00146373
1.4	0.00146373
1.5	0.00146373
1.6	0.00146373
1.7	0.00146373
1.8	0.00146373
1.9	0.00146373
2	0.00146373
2.1	0.00225177
2.2	0.00225177
2.3	0.00225177
2.4	0.00225177
2.5	0.00225177
2.6	0.00225177
2.7	0.00225177
2.8	0.00225177
2.9	0.00225177
3	0.00225177
3.1	0.00302544
3.2	0.00302544
3.3	0.00302544
3.4	0.00302544
3.5	0.00302544
3.6	0.00302544
3.7	0.00302544
3.8	0.00302544
3.9	0.00302544
4	0.00302544
4.1	0.00378531
4.2	0.00378531
4.3	0.00378531
4.4	0.00378531
4.5	0.00378531
4.6	0.00378531
4.7	0.00378531
4.8	0.00378531
4.9	0.00378531
5	0.00378531
5.1	0.00453179
5.2	0.00453179
5.3	0.00453179
5.4	0.00453179
5.5	0.00453179
5.6	0.00453179
5.7	0.00453179
5.8	0.00453179
5.9	0.00453179
6	0.00453179
6.1	0.00526525
6.2	0.00526525
6.3	0.00526525
6.4	0.00526525
6.5	0.00526525
6.6	0.00526525
6.7	0.00526525
6.8	0.00526525
6.9	0.00526525
7	0.00526525
7.1	0.00598595
7.2	0.00598595
7.3	0.00598595
7.4	0.00598595
7.5	0.00598595
7.6	0.00598595
7.7	0.00598595
7.8	0.00598595
7.9	0.00598595
8	0.00598595
8.1	0.00669411
8.2	0.00669411
8.3	0.00669411
8.4	0.00669411
8.5	0.00669411
8.6	0.00669411
8.7	0.00669411
8.8	0.00669411
8.9	0.00669411
9	0.00669411
9.1	0.00738994
9.2	0.00738994
9.3	0.00738994
9.4	0.00738994
9.5	0.00738994
9.6	0.00738994
9.7	0.00738994
9.8	0.00738994
9.9	0.00738994
10	0.00738994
10.1	0.00807359
10.2	0.00807359
10.3	0.00807359
10.4	0.00807359
10.5	0.00807359
10.6	0.00807359
10.7	0.00807359
10.8	0.00807359
10.9	0.00807359
11	0.00807359
11.1	0.0087452
11.2	0.0087452
11.3	0.0087452
11.4	0.0087452
11.5	0.0087452
11.6	0.0087452
11.7	0.0087452
11.8	0.0087452
11.9	0.0087452
12	0.0087452
12.1	0.00940489
12.2	0.00940489
12.3	0.00940489
12.4	0.00940489
12.5	0.00940489
12.6	0.00940489
12.7	0.00940489
12.8	0.00940489
12.9	0.00940489
13	0.00940489
13.1	0.0100528
13.2	0.0100528
13.3	0.0100528
13.4	0.0100528
13.5	0.0100528
13.6	0.0100528
13.7	0.0100528
13.8	0.0100528
13.9	0.0100528
14	0.0100528
14.1	0.010689
14.2	0.010689
14.3	0.010689
14.4	0.010689
14.5	0.010689
14.6	0.010689
14.7	0.010689
14.8	0.010689
14.9	0.010689
15	0.010689
