"arc_length"	"U_Magnitude_diff_rho"
0	0
0.1	0
0.2	0
0.3	0
0.4	0
0.5	0
0.6	0
0.7	0
0.8	0
0.9	0
1	0
1.1	0.000101986
1.2	0.000101986
1.3	0.000101986
1.4	0.000101986
1.5	0.000101986
1.6	0.000101986
1.7	0.000101986
1.8	0.000101986
1.9	0.000101986
2	0.000101986
2.1	0.000295857
2.2	0.000295857
2.3	0.000295857
2.4	0.000295857
2.5	0.000295857
2.6	0.000295857
2.7	0.000295857
2.8	0.000295857
2.9	0.000295857
3	0.000295857
3.1	0.000485688
3.2	0.000485688
3.3	0.000485688
3.4	0.000485688
3.5	0.000485688
3.6	0.000485688
3.7	0.000485688
3.8	0.000485688
3.9	0.000485688
4	0.000485688
4.1	0.00067148
4.2	0.00067148
4.3	0.00067148
4.4	0.00067148
4.5	0.00067148
4.6	0.00067148
4.7	0.00067148
4.8	0.00067148
4.9	0.00067148
5	0.00067148
5.1	0.000853231
5.2	0.000853231
5.3	0.000853231
5.4	0.000853231
5.5	0.000853231
5.6	0.000853231
5.7	0.000853231
5.8	0.000853231
5.9	0.000853231
6	0.000853231
6.1	0.00103094
6.2	0.00103094
6.3	0.00103094
6.4	0.00103094
6.5	0.00103094
6.6	0.00103094
6.7	0.00103094
6.8	0.00103094
6.9	0.00103094
7	0.00103094
7.1	0.00120461
7.2	0.00120461
7.3	0.00120461
7.4	0.00120461
7.5	0.00120461
7.6	0.00120461
7.7	0.00120461
7.8	0.00120461
7.9	0.00120461
8	0.00120461
8.1	0.00137424
8.2	0.00137424
8.3	0.00137424
8.4	0.00137424
8.5	0.00137424
8.6	0.00137424
8.7	0.00137424
8.8	0.00137424
8.9	0.00137424
9	0.00137424
9.1	0.00153984
9.2	0.00153984
9.3	0.00153984
9.4	0.00153984
9.5	0.00153984
9.6	0.00153984
9.7	0.00153984
9.8	0.00153984
9.9	0.00153984
10	0.00153984
10.1	0.00170139
10.2	0.00170139
10.3	0.00170139
10.4	0.00170139
10.5	0.00170139
10.6	0.00170139
10.7	0.00170139
10.8	0.00170139
10.9	0.00170139
11	0.00170139
11.1	0.0018589
11.2	0.0018589
11.3	0.0018589
11.4	0.0018589
11.5	0.0018589
11.6	0.0018589
11.7	0.0018589
11.8	0.0018589
11.9	0.0018589
12	0.0018589
12.1	0.00201237
12.2	0.00201237
12.3	0.00201237
12.4	0.00201237
12.5	0.00201237
12.6	0.00201237
12.7	0.00201237
12.8	0.00201237
12.9	0.00201237
13	0.00201237
13.1	0.0021618
13.2	0.0021618
13.3	0.0021618
13.4	0.0021618
13.5	0.0021618
13.6	0.0021618
13.7	0.0021618
13.8	0.0021618
13.9	0.0021618
14	0.0021618
14.1	0.00230719
14.2	0.00230719
14.3	0.00230719
14.4	0.00230719
14.5	0.00230719
14.6	0.00230719
14.7	0.00230719
14.8	0.00230719
14.9	0.00230719
