"arc_length"	"U_Magnitude_sharp_v"
0	0
0.1	0
0.2	0
0.3	0
0.4	0
0.5	0
0.6	0
0.7	0
0.8	0
0.9	0
1	0
1.1	5.50481e-06
1.2	5.50481e-06
1.3	5.50481e-06
1.4	5.50481e-06
1.5	5.50481e-06
1.6	5.50481e-06
1.7	5.50481e-06
1.8	5.50481e-06
1.9	5.50481e-06
2	5.50481e-06
2.1	8.41421e-06
2.2	8.41421e-06
2.3	8.41421e-06
2.4	8.41421e-06
2.5	8.41421e-06
2.6	8.41421e-06
2.7	8.41421e-06
2.8	8.41421e-06
2.9	8.41421e-06
3	8.41421e-06
3.1	1.12832e-05
3.2	1.12832e-05
3.3	1.12832e-05
3.4	1.12832e-05
3.5	1.12832e-05
3.6	1.12832e-05
3.7	1.12832e-05
3.8	1.12832e-05
3.9	1.12832e-05
4	1.12832e-05
4.1	1.41118e-05
4.2	1.41118e-05
4.3	1.41118e-05
4.4	1.41118e-05
4.5	1.41118e-05
4.6	1.41118e-05
4.7	1.41118e-05
4.8	1.41118e-05
4.9	1.41118e-05
5	1.41118e-05
5.1	1.69e-05
5.2	1.69e-05
5.3	1.69e-05
5.4	1.69e-05
5.5	1.69e-05
5.6	1.69e-05
5.7	1.69e-05
5.8	1.69e-05
5.9	1.69e-05
6	1.69e-05
6.1	1.96478e-05
6.2	1.96478e-05
6.3	1.96478e-05
6.4	1.96478e-05
6.5	1.96478e-05
6.6	1.96478e-05
6.7	1.96478e-05
6.8	1.96478e-05
6.9	1.96478e-05
7	1.96478e-05
7.1	2.23552e-05
7.2	2.23552e-05
7.3	2.23552e-05
7.4	2.23552e-05
7.5	2.23552e-05
7.6	2.23552e-05
7.7	2.23552e-05
7.8	2.23552e-05
7.9	2.23552e-05
8	2.23552e-05
8.1	2.50222e-05
8.2	2.50222e-05
8.3	2.50222e-05
8.4	2.50222e-05
8.5	2.50222e-05
8.6	2.50222e-05
8.7	2.50222e-05
8.8	2.50222e-05
8.9	2.50222e-05
9	2.50222e-05
9.1	2.76488e-05
9.2	2.76488e-05
9.3	2.76488e-05
9.4	2.76488e-05
9.5	2.76488e-05
9.6	2.76488e-05
9.7	2.76488e-05
9.8	2.76488e-05
9.9	2.76488e-05
10	2.76488e-05
10.1	3.0235e-05
10.2	3.0235e-05
10.3	3.0235e-05
10.4	3.0235e-05
10.5	3.0235e-05
10.6	3.0235e-05
10.7	3.0235e-05
10.8	3.0235e-05
10.9	3.0235e-05
11	3.0235e-05
11.1	3.27808e-05
11.2	3.27808e-05
11.3	3.27808e-05
11.4	3.27808e-05
11.5	3.27808e-05
11.6	3.27808e-05
11.7	3.27808e-05
11.8	3.27808e-05
11.9	3.27808e-05
12	3.27808e-05
12.1	3.52862e-05
12.2	3.52862e-05
12.3	3.52862e-05
12.4	3.52862e-05
12.5	3.52862e-05
12.6	3.52862e-05
