"arc_length"	"U_Magnitude_Guo"
0	0
0.1	0
0.2	0
0.3	0
0.4	0
0.5	0
0.6	0
0.7	0
0.8	0
0.9	0
1	0
1.1	0.000420499
1.2	0.000420499
1.3	0.000420499
1.4	0.000420499
1.5	0.000420499
1.6	0.000420499
1.7	0.000420499
1.8	0.000420499
1.9	0.000420499
2	0.000420499
2.1	0.000642598
2.2	0.000642598
2.3	0.000642598
2.4	0.000642598
2.5	0.000642598
2.6	0.000642598
2.7	0.000642598
2.8	0.000642598
2.9	0.000642598
3	0.000642598
3.1	0.000861529
3.2	0.000861529
3.3	0.000861529
3.4	0.000861529
3.5	0.000861529
3.6	0.000861529
3.7	0.000861529
3.8	0.000861529
3.9	0.000861529
4	0.000861529
4.1	0.0010773
4.2	0.0010773
4.3	0.0010773
4.4	0.0010773
4.5	0.0010773
4.6	0.0010773
4.7	0.0010773
4.8	0.0010773
4.9	0.0010773
5	0.0010773
5.1	0.00128993
5.2	0.00128993
5.3	0.00128993
5.4	0.00128993
5.5	0.00128993
5.6	0.00128993
5.7	0.00128993
5.8	0.00128993
5.9	0.00128993
6	0.00128993
6.1	0.00149942
6.2	0.00149942
6.3	0.00149942
6.4	0.00149942
6.5	0.00149942
6.6	0.00149942
6.7	0.00149942
6.8	0.00149942
6.9	0.00149942
7	0.00149942
7.1	0.00170578
7.2	0.00170578
7.3	0.00170578
7.4	0.00170578
7.5	0.00170578
7.6	0.00170578
7.7	0.00170578
7.8	0.00170578
7.9	0.00170578
8	0.00170578
8.1	0.001909
8.2	0.001909
8.3	0.001909
8.4	0.001909
8.5	0.001909
8.6	0.001909
8.7	0.001909
8.8	0.001909
8.9	0.001909
9	0.001909
9.1	0.00210911
9.2	0.00210911
9.3	0.00210911
9.4	0.00210911
9.5	0.00210911
9.6	0.00210911
9.7	0.00210911
9.8	0.00210911
9.9	0.00210911
10	0.00210911
10.1	0.00230609
10.2	0.00230609
10.3	0.00230609
10.4	0.00230609
10.5	0.00230609
10.6	0.00230609
10.7	0.00230609
10.8	0.00230609
10.9	0.00230609
11	0.00230609
11.1	0.00249995
11.2	0.00249995
11.3	0.00249995
11.4	0.00249995
11.5	0.00249995
11.6	0.00249995
11.7	0.00249995
11.8	0.00249995
11.9	0.00249995
12	0.00249995
12.1	0.00269069
12.2	0.00269069
12.3	0.00269069
12.4	0.00269069
12.5	0.00269069
12.6	0.00269069
12.7	0.00269069
12.8	0.00269069
12.9	0.00269069
13	0.00269069
13.1	0.00287833
13.2	0.00287833
13.3	0.00287833
13.4	0.00287833
13.5	0.00287833
13.6	0.00287833
13.7	0.00287833
13.8	0.00287833
13.9	0.00287833
14	0.00287833
14.1	0.00306285
14.2	0.00306285
14.3	0.00306285
14.4	0.00306285
14.5	0.00306285
14.6	0.00306285
14.7	0.00306285
14.8	0.00306285
14.9	0.00306285
15	0.00306285
