"arc_length"	"U_Magnitude_mrt"
0	0
0.1	0
0.2	0
0.3	0
0.4	0
0.5	0
0.6	0
0.7	0
0.8	0
0.9	0
1	0
1.1	0.000418365
1.2	0.000418365
1.3	0.000418365
1.4	0.000418365
1.5	0.000418365
1.6	0.000418365
1.7	0.000418365
1.8	0.000418365
1.9	0.000418365
2	0.000418365
2.1	0.00063948
2.2	0.00063948
2.3	0.00063948
2.4	0.00063948
2.5	0.00063948
2.6	0.00063948
2.7	0.00063948
2.8	0.00063948
2.9	0.00063948
3	0.00063948
3.1	0.000857525
3.2	0.000857525
3.3	0.000857525
3.4	0.000857525
3.5	0.000857525
3.6	0.000857525
3.7	0.000857525
3.8	0.000857525
3.9	0.000857525
4	0.000857525
4.1	0.0010725
4.2	0.0010725
4.3	0.0010725
4.4	0.0010725
4.5	0.0010725
4.6	0.0010725
4.7	0.0010725
4.8	0.0010725
4.9	0.0010725
5	0.0010725
5.1	0.0012844
5.2	0.0012844
5.3	0.0012844
5.4	0.0012844
5.5	0.0012844
5.6	0.0012844
5.7	0.0012844
5.8	0.0012844
5.9	0.0012844
6	0.0012844
6.1	0.00149324
6.2	0.00149324
6.3	0.00149324
6.4	0.00149324
6.5	0.00149324
6.6	0.00149324
6.7	0.00149324
6.8	0.00149324
6.9	0.00149324
7	0.00149324
7.1	0.001699
7.2	0.001699
7.3	0.001699
7.4	0.001699
7.5	0.001699
7.6	0.001699
7.7	0.001699
7.8	0.001699
7.9	0.001699
8	0.001699
8.1	0.00190169
8.2	0.00190169
8.3	0.00190169
8.4	0.00190169
8.5	0.00190169
8.6	0.00190169
8.7	0.00190169
8.8	0.00190169
8.9	0.00190169
9	0.00190169
9.1	0.00210131
9.2	0.00210131
9.3	0.00210131
9.4	0.00210131
9.5	0.00210131
9.6	0.00210131
9.7	0.00210131
9.8	0.00210131
9.9	0.00210131
10	0.00210131
10.1	0.00229787
10.2	0.00229787
10.3	0.00229787
10.4	0.00229787
10.5	0.00229787
10.6	0.00229787
10.7	0.00229787
10.8	0.00229787
10.9	0.00229787
11	0.00229787
11.1	0.00249135
11.2	0.00249135
11.3	0.00249135
11.4	0.00249135
11.5	0.00249135
11.6	0.00249135
11.7	0.00249135
11.8	0.00249135
11.9	0.00249135
12	0.00249135
12.1	0.00268176
12.2	0.00268176
12.3	0.00268176
12.4	0.00268176
12.5	0.00268176
12.6	0.00268176
12.7	0.00268176
12.8	0.00268176
12.9	0.00268176
13	0.00268176
13.1	0.0028691
13.2	0.0028691
13.3	0.0028691
13.4	0.0028691
13.5	0.0028691
13.6	0.0028691
13.7	0.0028691
13.8	0.0028691
13.9	0.0028691
14	0.0028691
14.1	0.00305337
14.2	0.00305337
14.3	0.00305337
14.4	0.00305337
14.5	0.00305337
14.6	0.00305337
14.7	0.00305337
14.8	0.00305337
14.9	0.00305337
15	0.00305337
