"arc_length"	"U_Magnitude_diff"
0	0
0.1	0
0.2	0
0.3	0
0.4	0
0.5	0
0.6	0
0.7	0
0.8	0
0.9	0
1	0
1.1	0.000442435
1.2	0.000442435
1.3	0.000442435
1.4	0.000442435
1.5	0.000442435
1.6	0.000442435
1.7	0.000442435
1.8	0.000442435
1.9	0.000442435
2	0.000442435
2.1	0.000682339
2.2	0.000682339
2.3	0.000682339
2.4	0.000682339
2.5	0.000682339
2.6	0.000682339
2.7	0.000682339
2.8	0.000682339
2.9	0.000682339
3	0.000682339
3.1	0.000918926
3.2	0.000918926
3.3	0.000918926
3.4	0.000918926
3.5	0.000918926
3.6	0.000918926
3.7	0.000918926
3.8	0.000918926
3.9	0.000918926
4	0.000918926
4.1	0.00115221
4.2	0.00115221
4.3	0.00115221
4.4	0.00115221
4.5	0.00115221
4.6	0.00115221
4.7	0.00115221
4.8	0.00115221
4.9	0.00115221
5	0.00115221
5.1	0.0013822
5.2	0.0013822
5.3	0.0013822
5.4	0.0013822
5.5	0.0013822
5.6	0.0013822
5.7	0.0013822
5.8	0.0013822
5.9	0.0013822
6	0.0013822
6.1	0.00160892
6.2	0.00160892
6.3	0.00160892
6.4	0.00160892
6.5	0.00160892
6.6	0.00160892
6.7	0.00160892
6.8	0.00160892
6.9	0.00160892
7	0.00160892
7.1	0.00183235
7.2	0.00183235
7.3	0.00183235
7.4	0.00183235
7.5	0.00183235
7.6	0.00183235
7.7	0.00183235
7.8	0.00183235
7.9	0.00183235
8	0.00183235
8.1	0.00205252
8.2	0.00205252
8.3	0.00205252
8.4	0.00205252
8.5	0.00205252
8.6	0.00205252
8.7	0.00205252
8.8	0.00205252
8.9	0.00205252
9	0.00205252
9.1	0.00226943
9.2	0.00226943
9.3	0.00226943
9.4	0.00226943
9.5	0.00226943
9.6	0.00226943
9.7	0.00226943
9.8	0.00226943
9.9	0.00226943
10	0.00226943
10.1	0.00248307
10.2	0.00248307
10.3	0.00248307
10.4	0.00248307
10.5	0.00248307
10.6	0.00248307
10.7	0.00248307
10.8	0.00248307
10.9	0.00248307
11	0.00248307
11.1	0.00269346
11.2	0.00269346
11.3	0.00269346
11.4	0.00269346
11.5	0.00269346
11.6	0.00269346
11.7	0.00269346
11.8	0.00269346
11.9	0.00269346
12	0.00269346
12.1	0.0029006
12.2	0.0029006
12.3	0.0029006
12.4	0.0029006
12.5	0.0029006
12.6	0.0029006
12.7	0.0029006
12.8	0.0029006
12.9	0.0029006
13	0.0029006
13.1	0.00310449
13.2	0.00310449
13.3	0.00310449
13.4	0.00310449
13.5	0.00310449
13.6	0.00310449
13.7	0.00310449
13.8	0.00310449
13.9	0.00310449
14	0.00310449
14.1	0.00330512
14.2	0.00330512
14.3	0.00330512
14.4	0.00330512
14.5	0.00330512
14.6	0.00330512
14.7	0.00330512
14.8	0.00330512
14.9	0.00330512
