"arc_length"	"U_Magnitude_sharp"
0	0
0.1	0
0.2	0
0.3	0
0.4	0
0.5	0
0.6	0
0.7	0
0.8	0
0.9	0
1	0
1.1	0.00135891
1.2	0.00135891
1.3	0.00135891
1.4	0.00135891
1.5	0.00135891
1.6	0.00135891
1.7	0.00135891
1.8	0.00135891
1.9	0.00135891
2	0.00135891
2.1	0.00359641
2.2	0.00359641
2.3	0.00359641
2.4	0.00359641
2.5	0.00359641
2.6	0.00359641
2.7	0.00359641
2.8	0.00359641
2.9	0.00359641
3	0.00359641
3.1	0.00578798
3.2	0.00578798
3.3	0.00578798
3.4	0.00578798
3.5	0.00578798
3.6	0.00578798
3.7	0.00578798
3.8	0.00578798
3.9	0.00578798
4	0.00578798
4.1	0.00793365
4.2	0.00793365
4.3	0.00793365
4.4	0.00793365
4.5	0.00793365
4.6	0.00793365
4.7	0.00793365
4.8	0.00793365
4.9	0.00793365
5	0.00793365
5.1	0.0100334
5.2	0.0100334
5.3	0.0100334
5.4	0.0100334
5.5	0.0100334
5.6	0.0100334
5.7	0.0100334
5.8	0.0100334
5.9	0.0100334
6	0.0100334
6.1	0.0120873
6.2	0.0120873
6.3	0.0120873
6.4	0.0120873
6.5	0.0120873
6.6	0.0120873
6.7	0.0120873
6.8	0.0120873
6.9	0.0120873
7	0.0120873
7.1	0.0140954
7.2	0.0140954
7.3	0.0140954
7.4	0.0140954
7.5	0.0140954
7.6	0.0140954
7.7	0.0140954
7.8	0.0140954
7.9	0.0140954
8	0.0140954
8.1	0.0160576
8.2	0.0160576
8.3	0.0160576
8.4	0.0160576
8.5	0.0160576
8.6	0.0160576
8.7	0.0160576
8.8	0.0160576
8.9	0.0160576
9	0.0160576
9.1	0.0179739
9.2	0.0179739
9.3	0.0179739
9.4	0.0179739
9.5	0.0179739
9.6	0.0179739
9.7	0.0179739
9.8	0.0179739
9.9	0.0179739
10	0.0179739
10.1	0.0198445
10.2	0.0198445
10.3	0.0198445
10.4	0.0198445
10.5	0.0198445
10.6	0.0198445
10.7	0.0198445
10.8	0.0198445
10.9	0.0198445
11	0.0198445
11.1	0.0216692
11.2	0.0216692
11.3	0.0216692
11.4	0.0216692
11.5	0.0216692
11.6	0.0216692
11.7	0.0216692
11.8	0.0216692
11.9	0.0216692
12	0.0216692
12.1	0.023448
12.2	0.023448
12.3	0.023448
12.4	0.023448
12.5	0.023448
12.6	0.023448
12.7	0.023448
12.8	0.023448
12.9	0.023448
13	0.023448
13.1	0.0251811
13.2	0.0251811
13.3	0.0251811
13.4	0.0251811
13.5	0.0251811
13.6	0.0251811
13.7	0.0251811
13.8	0.0251811
13.9	0.0251811
14	0.0251811
14.1	0.0268684
14.2	0.0268684
14.3	0.0268684
14.4	0.0268684
14.5	0.0268684
14.6	0.0268684
14.7	0.0268684
14.8	0.0268684
14.9	0.0268684
15	0.0268684
