"arc_length"	"U_Magnitude"
0	0
0.1	0
0.2	0
0.3	0
0.4	0
0.5	0
0.6	0
0.7	0
0.8	0
0.9	0
1	0
1.1	0.000419071
1.2	0.000419071
1.3	0.000419071
1.4	0.000419071
1.5	0.000419071
1.6	0.000419071
1.7	0.000419071
1.8	0.000419071
1.9	0.000419071
2	0.000419071
2.1	0.000646323
2.2	0.000646323
2.3	0.000646323
2.4	0.000646323
2.5	0.000646323
2.6	0.000646323
2.7	0.000646323
2.8	0.000646323
2.9	0.000646323
3	0.000646323
3.1	0.000870443
3.2	0.000870443
3.3	0.000870443
3.4	0.000870443
3.5	0.000870443
3.6	0.000870443
3.7	0.000870443
3.8	0.000870443
3.9	0.000870443
4	0.000870443
4.1	0.00109144
4.2	0.00109144
4.3	0.00109144
4.4	0.00109144
4.5	0.00109144
4.6	0.00109144
4.7	0.00109144
4.8	0.00109144
4.9	0.00109144
5	0.00109144
5.1	0.00130933
5.2	0.00130933
5.3	0.00130933
5.4	0.00130933
5.5	0.00130933
5.6	0.00130933
5.7	0.00130933
5.8	0.00130933
5.9	0.00130933
6	0.00130933
6.1	0.00152412
6.2	0.00152412
6.3	0.00152412
6.4	0.00152412
6.5	0.00152412
6.6	0.00152412
6.7	0.00152412
6.8	0.00152412
6.9	0.00152412
7	0.00152412
7.1	0.00173582
7.2	0.00173582
7.3	0.00173582
7.4	0.00173582
7.5	0.00173582
7.6	0.00173582
7.7	0.00173582
7.8	0.00173582
7.9	0.00173582
8	0.00173582
8.1	0.00194442
8.2	0.00194442
8.3	0.00194442
8.4	0.00194442
8.5	0.00194442
8.6	0.00194442
8.7	0.00194442
8.8	0.00194442
8.9	0.00194442
9	0.00194442
9.1	0.00214994
9.2	0.00214994
9.3	0.00214994
9.4	0.00214994
9.5	0.00214994
9.6	0.00214994
9.7	0.00214994
9.8	0.00214994
9.9	0.00214994
10	0.00214994
10.1	0.00235237
10.2	0.00235237
10.3	0.00235237
10.4	0.00235237
10.5	0.00235237
10.6	0.00235237
10.7	0.00235237
10.8	0.00235237
10.9	0.00235237
11	0.00235237
11.1	0.00255172
11.2	0.00255172
11.3	0.00255172
11.4	0.00255172
11.5	0.00255172
11.6	0.00255172
11.7	0.00255172
11.8	0.00255172
11.9	0.00255172
12	0.00255172
12.1	0.00274799
12.2	0.00274799
12.3	0.00274799
12.4	0.00274799
12.5	0.00274799
12.6	0.00274799
12.7	0.00274799
12.8	0.00274799
12.9	0.00274799
13	0.00274799
13.1	0.00294119
13.2	0.00294119
13.3	0.00294119
13.4	0.00294119
13.5	0.00294119
13.6	0.00294119
13.7	0.00294119
13.8	0.00294119
13.9	0.00294119
14	0.00294119
14.1	0.00313131
14.2	0.00313131
14.3	0.00313131
14.4	0.00313131
14.5	0.00313131
14.6	0.00313131
14.7	0.00313131
14.8	0.00313131
14.9	0.00313131
