"arc_length"	"U_Magnitude","U_X"
0	0	0
0.55	0	0
1.1	0	0
1.65	0	0
2.2	1.41212e-07	-1.41212e-07
2.75	1.41212e-07	-1.41212e-07
3.3	4.09019e-07	-4.09013e-07
3.85	4.09019e-07	-4.09013e-07
4.4	6.67328e-07	-6.673e-07
4.95	6.67328e-07	-6.673e-07
5.5	9.16606e-07	-9.16528e-07
6.05	1.15729e-06	-1.15712e-06
6.6	1.15729e-06	-1.15712e-06
7.15	1.38977e-06	-1.38947e-06
7.7	1.38977e-06	-1.38947e-06
8.25	1.61446e-06	-1.61396e-06
8.8	1.61446e-06	-1.61396e-06
9.35	1.8317e-06	-1.83094e-06
9.9	1.8317e-06	-1.83094e-06
10.45	2.04187e-06	-2.04076e-06
11	2.04187e-06	-2.04076e-06
11.55	2.24527e-06	-2.24374e-06
12.1	2.44223e-06	-2.44017e-06
12.65	2.44223e-06	-2.44017e-06
13.2	2.63304e-06	-2.63035e-06
13.75	2.63304e-06	-2.63035e-06
14.3	2.81799e-06	-2.81454e-06
14.85	2.81799e-06	-2.81454e-06
15.4	2.99734e-06	-2.99299e-06
15.95	2.99734e-06	-2.99299e-06
16.5	3.17133e-06	-3.16595e-06
17.05	3.3402e-06	-3.33363e-06
17.6	3.3402e-06	-3.33363e-06
18.15	3.50419e-06	-3.49625e-06
18.7	3.50419e-06	-3.49625e-06
19.25	3.66348e-06	-3.65399e-06
19.8	3.66348e-06	-3.65399e-06
20.35	3.81828e-06	-3.80703e-06
20.9	3.81828e-06	-3.80703e-06
21.45	3.96877e-06	-3.95555e-06
22	3.96877e-06	-3.95555e-06
22.55	4.11513e-06	-4.09969e-06
23.1	4.25751e-06	-4.23959e-06
23.65	4.25751e-06	-4.23959e-06
24.2	4.39607e-06	-4.37538e-06
24.75	4.39607e-06	-4.37538e-06
25.3	4.53093e-06	-4.50718e-06
25.85	4.53093e-06	-4.50718e-06
26.4	4.66224e-06	-4.63508e-06
26.95	4.66224e-06	-4.63508e-06
27.5	4.7901e-06	-4.75917e-06
28.05	4.91463e-06	-4.87954e-06
28.6	4.91463e-06	-4.87954e-06
29.15	5.03592e-06	-4.99625e-06
29.7	5.03592e-06	-4.99625e-06
30.25	5.15407e-06	-5.10935e-06
30.8	5.15407e-06	-5.10935e-06
31.35	5.26916e-06	-5.2189e-06
31.9	5.26916e-06	-5.2189e-06
32.45	5.38127e-06	-5.32491e-06
33	5.38127e-06	-5.32491e-06
33.55	5.49045e-06	-5.42742e-06
34.1	5.59677e-06	-5.52643e-06
34.65	5.59677e-06	-5.52643e-06
35.2	5.70028e-06	-5.62194e-06
35.75	5.70028e-06	-5.62194e-06
36.3	5.80102e-06	-5.71394e-06
36.85	5.80102e-06	-5.71394e-06
37.4	5.89903e-06	-5.8024e-06
37.95	5.89903e-06	-5.8024e-06
38.5	5.99434e-06	-5.88729e-06
39.05	6.08697e-06	-5.96857e-06
39.6	6.08697e-06	-5.96857e-06
40.15	6.17695e-06	-6.04617e-06
40.7	6.17695e-06	-6.04617e-06
41.25	6.26428e-06	-6.12003e-06
41.8	6.26428e-06	-6.12003e-06
42.35	6.34897e-06	-6.19007e-06
42.9	6.34897e-06	-6.19007e-06
43.45	6.43102e-06	-6.25619e-06
44	6.43102e-06	-6.25619e-06
44.55	6.51045e-06	-6.3183e-06
45.1	6.58721e-06	-6.37628e-06
45.65	6.58721e-06	-6.37628e-06
46.2	6.66132e-06	-6.43001e-06
46.75	6.66132e-06	-6.43001e-06
47.3	6.73275e-06	-6.47933e-06
47.85	6.73275e-06	-6.47933e-06
48.4	6.8015e-06	-6.52412e-06
48.95	6.8015e-06	-6.52412e-06
49.5	6.86752e-06	-6.56419e-06
50.05	6.93081e-06	-6.59939e-06
50.6	6.93081e-06	-6.59939e-06
51.15	6.99132e-06	-6.62952e-06
51.7	6.99132e-06	-6.62952e-06
52.25	7.04905e-06	-6.65439e-06
52.8	7.04905e-06	-6.65439e-06
53.35	7.10393e-06	-6.67378e-06
53.9	7.10393e-06	-6.67378e-06
54.45	7.15598e-06	-6.68747e-06
55	7.15598e-06	-6.68747e-06
55.55	7.20511e-06	-6.69522e-06
56.1	7.25135e-06	-6.69679e-06
