"arc_length"	"U_Magnitude_eq25","U_MagnitudeMRT"
0	0	0
0.256	0	0
0.512	0	0
0.768	0	0
1.024	1.04928e-10	3.50352e-12
1.28	1.04928e-10	3.50352e-12
1.536	1.04928e-10	3.50352e-12
1.792	1.04928e-10	3.50352e-12
2.048	2.32738e-10	1.57791e-11
2.304	2.32738e-10	1.57791e-11
2.56	2.32738e-10	1.57791e-11
2.816	2.32738e-10	1.57791e-11
3.072	8.75522e-10	3.79535e-11
3.328	8.75522e-10	3.79535e-11
3.584	8.75522e-10	3.79535e-11
3.84	8.75522e-10	3.79535e-11
4.096	4.20537e-09	7.00745e-11
4.352	4.20537e-09	7.00745e-11
4.608	4.20537e-09	7.00745e-11
4.864	4.20537e-09	7.00745e-11
5.12	1.0492e-08	1.1167e-10
5.376	1.0492e-08	1.1167e-10
5.632	1.0492e-08	1.1167e-10
5.888	1.0492e-08	1.1167e-10
6.144	1.82776e-08	1.62244e-10
6.4	1.82776e-08	1.62244e-10
6.656	1.82776e-08	1.62244e-10
6.912	1.82776e-08	1.62244e-10
7.168	2.45057e-08	2.21336e-10
7.424	2.45057e-08	2.21336e-10
7.68	2.45057e-08	2.21336e-10
7.936	2.45057e-08	2.21336e-10
8.192	2.59223e-08	2.88524e-10
8.448	2.59223e-08	2.88524e-10
8.704	2.59223e-08	2.88524e-10
8.96	2.59223e-08	2.88524e-10
9.216	2.092e-08	3.63428e-10
9.472	2.092e-08	3.63428e-10
9.728	2.092e-08	3.63428e-10
9.984	2.092e-08	3.63428e-10
10.24	1.12771e-08	4.45707e-10
10.496	1.12771e-08	4.45707e-10
10.752	1.12771e-08	4.45707e-10
11.008	1.04547e-08	5.35058e-10
11.264	1.04547e-08	5.35058e-10
11.52	1.04547e-08	5.35058e-10
11.776	1.04547e-08	5.35058e-10
12.032	2.23084e-08	6.31211e-10
12.288	2.23084e-08	6.31211e-10
12.544	2.23084e-08	6.31211e-10
12.8	2.23084e-08	6.31211e-10
13.056	3.17755e-08	7.33931e-10
13.312	3.17755e-08	7.33931e-10
13.568	3.17755e-08	7.33931e-10
13.824	3.17755e-08	7.33931e-10
14.08	3.52443e-08	8.43013e-10
14.336	3.52443e-08	8.43013e-10
14.592	3.52443e-08	8.43013e-10
14.848	3.52443e-08	8.43013e-10
15.104	3.24675e-08	9.58281e-10
15.36	3.24675e-08	9.58281e-10
15.616	3.24675e-08	9.58281e-10
15.872	3.24675e-08	9.58281e-10
16.128	2.54515e-08	1.07959e-09
16.384	2.54515e-08	1.07959e-09
16.64	2.54515e-08	1.07959e-09
16.896	2.54515e-08	1.07959e-09
17.152	1.76852e-08	1.20681e-09
17.408	1.76852e-08	1.20681e-09
17.664	1.76852e-08	1.20681e-09
17.92	1.76852e-08	1.20681e-09
18.176	1.30072e-08	1.33986e-09
18.432	1.30072e-08	1.33986e-09
18.688	1.30072e-08	1.33986e-09
18.944	1.30072e-08	1.33986e-09
19.2	1.50775e-08	1.47867e-09
19.456	1.50775e-08	1.47867e-09
19.712	1.50775e-08	1.47867e-09
19.968	1.50775e-08	1.47867e-09
20.224	2.46194e-08	1.62318e-09
20.48	2.46194e-08	1.62318e-09
20.736	2.46194e-08	1.62318e-09
20.992	2.46194e-08	1.62318e-09
21.248	4.00004e-08	1.77337e-09
21.504	4.00004e-08	1.77337e-09
21.76	4.00004e-08	1.77337e-09
22.016	5.86177e-08	1.92925e-09
22.272	5.86177e-08	1.92925e-09
22.528	5.86177e-08	1.92925e-09
22.784	5.86177e-08	1.92925e-09
23.04	7.70026e-08	2.09083e-09
23.296	7.70026e-08	2.09083e-09
23.552	7.70026e-08	2.09083e-09
23.808	7.70026e-08	2.09083e-09
24.064	9.14185e-08	2.25817e-09
24.32	9.14185e-08	2.25817e-09
24.576	9.14185e-08	2.25817e-09
24.832	9.14185e-08	2.25817e-09
25.088	9.93915e-08	2.43131e-09
25.344	9.93915e-08	2.43131e-09
25.6	9.93915e-08	2.43131e-09
25.856	9.93915e-08	2.43131e-09
26.112	1.00089e-07	2.61036e-09
26.368	1.00089e-07	2.61036e-09
26.624	1.00089e-07	2.61036e-09
26.88	1.00089e-07	2.61036e-09
27.136	9.33949e-08	2.7954e-09
27.392	9.33949e-08	2.7954e-09
27.648	9.33949e-08	2.7954e-09
27.904	9.33949e-08	2.7954e-09
28.16	8.10093e-08	2.98659e-09
28.416	8.10093e-08	2.98659e-09
28.672	8.10093e-08	2.98659e-09
28.928	8.10093e-08	2.98659e-09
29.184	7.21485e-08	3.18405e-09
29.44	7.21485e-08	3.18405e-09
29.696	7.21485e-08	3.18405e-09
29.952	7.21485e-08	3.18405e-09
30.208	8.03368e-08	3.38798e-09
30.464	8.03368e-08	3.38798e-09
30.72	8.03368e-08	3.38798e-09
30.976	8.03368e-08	3.38798e-09
31.232	1.05162e-07	3.59855e-09
31.488	1.05162e-07	3.59855e-09
31.744	1.05162e-07	3.59855e-09
32	1.05162e-07	3.59855e-09
32.256	1.35078e-07	3.81599e-09
32.512	1.35078e-07	3.81599e-09
32.768	1.35078e-07	3.81599e-09
33.024	1.62041e-07	4.04053e-09
33.28	1.62041e-07	4.04053e-09
33.536	1.62041e-07	4.04053e-09
33.792	1.62041e-07	4.04053e-09
34.048	1.81207e-07	4.27244e-09
34.304	1.81207e-07	4.27244e-09
34.56	1.81207e-07	4.27244e-09
34.816	1.81207e-07	4.27244e-09
35.072	1.88167e-07	4.51201e-09
35.328	1.88167e-07	4.51201e-09
35.584	1.88167e-07	4.51201e-09
35.84	1.88167e-07	4.51201e-09
36.096	1.80758e-07	4.75956e-09
36.352	1.80758e-07	4.75956e-09
36.608	1.80758e-07	4.75956e-09
36.864	1.80758e-07	4.75956e-09
37.12	1.62812e-07	5.01541e-09
37.376	1.62812e-07	5.01541e-09
37.632	1.62812e-07	5.01541e-09
37.888	1.62812e-07	5.01541e-09
38.144	1.43444e-07	5.27995e-09
38.4	1.43444e-07	5.27995e-09
38.656	1.43444e-07	5.27995e-09
38.912	1.43444e-07	5.27995e-09
39.168	1.32838e-07	5.55357e-09
39.424	1.32838e-07	5.55357e-09
39.68	1.32838e-07	5.55357e-09
39.936	1.32838e-07	5.55357e-09
40.192	1.36505e-07	5.83669e-09
40.448	1.36505e-07	5.83669e-09
40.704	1.36505e-07	5.83669e-09
40.96	1.36505e-07	5.83669e-09
41.216	1.52871e-07	6.12978e-09
41.472	1.52871e-07	6.12978e-09
41.728	1.52871e-07	6.12978e-09
41.984	1.52871e-07	6.12978e-09
42.24	1.75587e-07	6.43334e-09
42.496	1.75587e-07	6.43334e-09
42.752	1.75587e-07	6.43334e-09
43.008	1.98371e-07	6.74789e-09
43.264	1.98371e-07	6.74789e-09
43.52	1.98371e-07	6.74789e-09
43.776	1.98371e-07	6.74789e-09
44.032	2.17674e-07	7.074e-09
44.288	2.17674e-07	7.074e-09
44.544	2.17674e-07	7.074e-09
44.8	2.17674e-07	7.074e-09
45.056	2.33751e-07	7.41229e-09
45.312	2.33751e-07	7.41229e-09
45.568	2.33751e-07	7.41229e-09
45.824	2.33751e-07	7.41229e-09
46.08	2.49187e-07	7.76339e-09
46.336	2.49187e-07	7.76339e-09
46.592	2.49187e-07	7.76339e-09
46.848	2.49187e-07	7.76339e-09
47.104	2.67023e-07	8.12801e-09
47.36	2.67023e-07	8.12801e-09
47.616	2.67023e-07	8.12801e-09
47.872	2.67023e-07	8.12801e-09
48.128	2.88667e-07	8.5069e-09
48.384	2.88667e-07	8.5069e-09
48.64	2.88667e-07	8.5069e-09
48.896	2.88667e-07	8.5069e-09
49.152	3.13876e-07	8.90083e-09
49.408	3.13876e-07	8.90083e-09
49.664	3.13876e-07	8.90083e-09
49.92	3.13876e-07	8.90083e-09
50.176	3.41494e-07	9.31067e-09
50.432	3.41494e-07	9.31067e-09
50.688	3.41494e-07	9.31067e-09
50.944	3.41494e-07	9.31067e-09
51.2	3.71263e-07	9.73732e-09
51.456	3.71263e-07	9.73732e-09
51.712	3.71263e-07	9.73732e-09
51.968	3.71263e-07	9.73732e-09
52.224	4.04283e-07	1.01817e-08
52.48	4.04283e-07	1.01817e-08
52.736	4.04283e-07	1.01817e-08
52.992	4.04283e-07	1.01817e-08
53.248	4.42873e-07	1.0645e-08
53.504	4.42873e-07	1.0645e-08
53.76	4.42873e-07	1.0645e-08
54.016	4.88717e-07	1.11281e-08
54.272	4.88717e-07	1.11281e-08
54.528	4.88717e-07	1.11281e-08
54.784	4.88717e-07	1.11281e-08
55.04	5.41497e-07	1.16323e-08
55.296	5.41497e-07	1.16323e-08
55.552	5.41497e-07	1.16323e-08
55.808	5.41497e-07	1.16323e-08
56.064	5.97629e-07	1.21589e-08
56.32	5.97629e-07	1.21589e-08
56.576	5.97629e-07	1.21589e-08
56.832	5.97629e-07	1.21589e-08
57.088	6.50957e-07	1.27091e-08
57.344	6.50957e-07	1.27091e-08
57.6	6.50957e-07	1.27091e-08
57.856	6.50957e-07	1.27091e-08
58.112	6.93915e-07	1.32843e-08
58.368	6.93915e-07	1.32843e-08
58.624	6.93915e-07	1.32843e-08
58.88	6.93915e-07	1.32843e-08
59.136	7.20009e-07	1.38862e-08
59.392	7.20009e-07	1.38862e-08
59.648	7.20009e-07	1.38862e-08
59.904	7.20009e-07	1.38862e-08
60.16	7.25754e-07	1.45163e-08
60.416	7.25754e-07	1.45163e-08
