"arc_length"	"U_MagnitudeMRT"
0	0
0.256	0
0.512	0
0.768	0
1.024	3.50352e-12
1.28	3.50352e-12
1.536	3.50352e-12
1.792	3.50352e-12
2.048	1.57791e-11
2.304	1.57791e-11
2.56	1.57791e-11
2.816	1.57791e-11
3.072	3.79535e-11
3.328	3.79535e-11
3.584	3.79535e-11
3.84	3.79535e-11
4.096	7.00745e-11
4.352	7.00745e-11
4.608	7.00745e-11
4.864	7.00745e-11
5.12	1.1167e-10
5.376	1.1167e-10
5.632	1.1167e-10
5.888	1.1167e-10
6.144	1.62244e-10
6.4	1.62244e-10
6.656	1.62244e-10
6.912	1.62244e-10
7.168	2.21336e-10
7.424	2.21336e-10
7.68	2.21336e-10
7.936	2.21336e-10
8.192	2.88524e-10
8.448	2.88524e-10
8.704	2.88524e-10
8.96	2.88524e-10
9.216	3.63428e-10
9.472	3.63428e-10
9.728	3.63428e-10
9.984	3.63428e-10
10.24	4.45707e-10
10.496	4.45707e-10
10.752	4.45707e-10
11.008	5.35058e-10
11.264	5.35058e-10
11.52	5.35058e-10
11.776	5.35058e-10
12.032	6.31211e-10
12.288	6.31211e-10
12.544	6.31211e-10
12.8	6.31211e-10
13.056	7.33931e-10
13.312	7.33931e-10
13.568	7.33931e-10
13.824	7.33931e-10
14.08	8.43013e-10
14.336	8.43013e-10
14.592	8.43013e-10
14.848	8.43013e-10
15.104	9.58281e-10
15.36	9.58281e-10
15.616	9.58281e-10
15.872	9.58281e-10
16.128	1.07959e-09
16.384	1.07959e-09
16.64	1.07959e-09
16.896	1.07959e-09
17.152	1.20681e-09
17.408	1.20681e-09
17.664	1.20681e-09
17.92	1.20681e-09
18.176	1.33986e-09
18.432	1.33986e-09
18.688	1.33986e-09
18.944	1.33986e-09
19.2	1.47867e-09
19.456	1.47867e-09
19.712	1.47867e-09
19.968	1.47867e-09
20.224	1.62318e-09
20.48	1.62318e-09
20.736	1.62318e-09
20.992	1.62318e-09
21.248	1.77337e-09
21.504	1.77337e-09
21.76	1.77337e-09
22.016	1.92925e-09
22.272	1.92925e-09
22.528	1.92925e-09
22.784	1.92925e-09
23.04	2.09083e-09
23.296	2.09083e-09
23.552	2.09083e-09
23.808	2.09083e-09
24.064	2.25817e-09
24.32	2.25817e-09
24.576	2.25817e-09
24.832	2.25817e-09
25.088	2.43131e-09
25.344	2.43131e-09
25.6	2.43131e-09
25.856	2.43131e-09
26.112	2.61036e-09
26.368	2.61036e-09
26.624	2.61036e-09
26.88	2.61036e-09
27.136	2.7954e-09
27.392	2.7954e-09
27.648	2.7954e-09
27.904	2.7954e-09
28.16	2.98659e-09
28.416	2.98659e-09
28.672	2.98659e-09
28.928	2.98659e-09
29.184	3.18405e-09
29.44	3.18405e-09
29.696	3.18405e-09
29.952	3.18405e-09
30.208	3.38798e-09
30.464	3.38798e-09
30.72	3.38798e-09
30.976	3.38798e-09
