"arc_length"	"U_Magnitude_eq25"
0	0
0.256	0
0.512	0
0.768	0
1.024	1.04928e-10
1.28	1.04928e-10
1.536	1.04928e-10
1.792	1.04928e-10
2.048	2.32738e-10
2.304	2.32738e-10
2.56	2.32738e-10
2.816	2.32738e-10
3.072	8.75522e-10
3.328	8.75522e-10
3.584	8.75522e-10
3.84	8.75522e-10
4.096	4.20537e-09
4.352	4.20537e-09
4.608	4.20537e-09
4.864	4.20537e-09
5.12	1.0492e-08
5.376	1.0492e-08
5.632	1.0492e-08
5.888	1.0492e-08
6.144	1.82776e-08
6.4	1.82776e-08
6.656	1.82776e-08
6.912	1.82776e-08
7.168	2.45057e-08
7.424	2.45057e-08
7.68	2.45057e-08
7.936	2.45057e-08
8.192	2.59223e-08
8.448	2.59223e-08
8.704	2.59223e-08
8.96	2.59223e-08
9.216	2.092e-08
9.472	2.092e-08
9.728	2.092e-08
9.984	2.092e-08
10.24	1.12771e-08
10.496	1.12771e-08
10.752	1.12771e-08
11.008	1.04547e-08
11.264	1.04547e-08
11.52	1.04547e-08
11.776	1.04547e-08
12.032	2.23084e-08
12.288	2.23084e-08
12.544	2.23084e-08
12.8	2.23084e-08
13.056	3.17755e-08
13.312	3.17755e-08
13.568	3.17755e-08
13.824	3.17755e-08
14.08	3.52443e-08
14.336	3.52443e-08
14.592	3.52443e-08
14.848	3.52443e-08
15.104	3.24675e-08
15.36	3.24675e-08
15.616	3.24675e-08
15.872	3.24675e-08
16.128	2.54515e-08
16.384	2.54515e-08
16.64	2.54515e-08
16.896	2.54515e-08
17.152	1.76852e-08
17.408	1.76852e-08
17.664	1.76852e-08
17.92	1.76852e-08
18.176	1.30072e-08
18.432	1.30072e-08
18.688	1.30072e-08
18.944	1.30072e-08
19.2	1.50775e-08
19.456	1.50775e-08
19.712	1.50775e-08
19.968	1.50775e-08
20.224	2.46194e-08
20.48	2.46194e-08
20.736	2.46194e-08
20.992	2.46194e-08
21.248	4.00004e-08
21.504	4.00004e-08
21.76	4.00004e-08
22.016	5.86177e-08
22.272	5.86177e-08
22.528	5.86177e-08
22.784	5.86177e-08
23.04	7.70026e-08
23.296	7.70026e-08
23.552	7.70026e-08
23.808	7.70026e-08
24.064	9.14185e-08
24.32	9.14185e-08
24.576	9.14185e-08
24.832	9.14185e-08
25.088	9.93915e-08
25.344	9.93915e-08
25.6	9.93915e-08
25.856	9.93915e-08
26.112	1.00089e-07
26.368	1.00089e-07
26.624	1.00089e-07
26.88	1.00089e-07
27.136	9.33949e-08
27.392	9.33949e-08
27.648	9.33949e-08
27.904	9.33949e-08
28.16	8.10093e-08
28.416	8.10093e-08
28.672	8.10093e-08
28.928	8.10093e-08
29.184	7.21485e-08
29.44	7.21485e-08
29.696	7.21485e-08
29.952	7.21485e-08
30.208	8.03368e-08
30.464	8.03368e-08
30.72	8.03368e-08
30.976	8.03368e-08
