"arc_length"	"U_Magnitude"
0	0
0.256	0
0.512	0
0.768	0
1.024	1.86892e-12
1.28	1.86892e-12
1.536	1.86892e-12
1.792	1.86892e-12
2.048	6.06996e-12
2.304	6.06996e-12
2.56	6.06996e-12
2.816	6.06996e-12
3.072	1.18888e-10
3.328	1.18888e-10
3.584	1.18888e-10
3.84	1.18888e-10
4.096	5.28291e-10
4.352	5.28291e-10
4.608	5.28291e-10
4.864	5.28291e-10
5.12	1.48637e-09
5.376	1.48637e-09
5.632	1.48637e-09
5.888	1.48637e-09
6.144	3.14119e-09
6.4	3.14119e-09
6.656	3.14119e-09
6.912	3.14119e-09
7.168	5.49933e-09
7.424	5.49933e-09
7.68	5.49933e-09
7.936	5.49933e-09
8.192	8.43441e-09
8.448	8.43441e-09
8.704	8.43441e-09
8.96	8.43441e-09
9.216	1.17584e-08
9.472	1.17584e-08
9.728	1.17584e-08
9.984	1.17584e-08
10.24	1.52501e-08
10.496	1.52501e-08
10.752	1.52501e-08
11.008	1.86155e-08
11.264	1.86155e-08
11.52	1.86155e-08
11.776	1.86155e-08
12.032	2.14346e-08
12.288	2.14346e-08
12.544	2.14346e-08
12.8	2.14346e-08
13.056	2.31498e-08
13.312	2.31498e-08
13.568	2.31498e-08
13.824	2.31498e-08
14.08	2.31882e-08
14.336	2.31882e-08
14.592	2.31882e-08
14.848	2.31882e-08
15.104	2.1182e-08
15.36	2.1182e-08
15.616	2.1182e-08
15.872	2.1182e-08
16.128	1.72248e-08
16.384	1.72248e-08
16.64	1.72248e-08
16.896	1.72248e-08
17.152	1.19312e-08
17.408	1.19312e-08
17.664	1.19312e-08
17.92	1.19312e-08
18.176	6.30056e-09
18.432	6.30056e-09
18.688	6.30056e-09
18.944	6.30056e-09
19.2	2.97443e-09
19.456	2.97443e-09
19.712	2.97443e-09
19.968	2.97443e-09
20.224	7.19008e-09
20.48	7.19008e-09
20.736	7.19008e-09
20.992	7.19008e-09
21.248	1.33075e-08
21.504	1.33075e-08
21.76	1.33075e-08
22.016	1.94991e-08
22.272	1.94991e-08
22.528	1.94991e-08
22.784	1.94991e-08
23.04	2.44025e-08
23.296	2.44025e-08
23.552	2.44025e-08
23.808	2.44025e-08
24.064	2.71705e-08
24.32	2.71705e-08
24.576	2.71705e-08
24.832	2.71705e-08
25.088	2.86365e-08
25.344	2.86365e-08
25.6	2.86365e-08
25.856	2.86365e-08
26.112	2.98215e-08
26.368	2.98215e-08
26.624	2.98215e-08
26.88	2.98215e-08
27.136	2.90523e-08
27.392	2.90523e-08
27.648	2.90523e-08
27.904	2.90523e-08
28.16	2.45603e-08
28.416	2.45603e-08
28.672	2.45603e-08
28.928	2.45603e-08
29.184	1.88368e-08
29.44	1.88368e-08
29.696	1.88368e-08
29.952	1.88368e-08
30.208	1.54449e-08
30.464	1.54449e-08
30.72	1.54449e-08
30.976	1.54449e-08
