"flag","ADDITIONALS","BODY","BOUNDARY","COLLISION","DESIGNSPACE","SETTINGZONE","NONE","Rho","PhaseField","U:0","U:1","U:2","NormalizedPressure","Pressure","Normal:0","Normal:1","Normal:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
384,0,0,0,3,0,0,0,1,7.30371958235e-07,1.17727028113e-10,1.17759405959e-10,0,-4.01949214166e-07,-1.33983071389e-07,0,0,0,1,0,0,128,0.5
384,0,0,0,3,0,0,0,1,7.30371958235e-07,1.17727028113e-10,1.17759405959e-10,0,-4.01949214166e-07,-1.33983071389e-07,0,0,0,1,0.256000012159,0.256000012159,128,0.5
384,0,0,0,3,0,0,0,1,7.30371958235e-07,1.17727028113e-10,1.17759405959e-10,0,-4.01949214166e-07,-1.33983071389e-07,0,0,0,1,0.512000024319,0.512000024319,128,0.5
384,0,0,0,3,0,0,0,1,7.30371958235e-07,1.17727028113e-10,1.17759405959e-10,0,-4.01949214166e-07,-1.33983071389e-07,0,0,0,1,0.768000006676,0.768000006676,128,0.5
384,0,0,0,3,0,0,0,1,7.30372083771e-07,3.53303114384e-10,1.17880984893e-10,0,-4.0194929958e-07,-1.3398309986e-07,0,0,0,1,1.02400004864,1.02400004864,128,0.5
384,0,0,0,3,0,0,0,1,7.30372083771e-07,3.53303114384e-10,1.17880984893e-10,0,-4.0194929958e-07,-1.3398309986e-07,0,0,0,1,1.27999997139,1.27999997139,128,0.5
384,0,0,0,3,0,0,0,1,7.30372083771e-07,3.53303114384e-10,1.17880984893e-10,0,-4.0194929958e-07,-1.3398309986e-07,0,0,0,1,1.53600001335,1.53600001335,128,0.5
384,0,0,0,3,0,0,0,1,7.30372083771e-07,3.53303114384e-10,1.17880984893e-10,0,-4.0194929958e-07,-1.3398309986e-07,0,0,0,1,1.79200005531,1.79200005531,128,0.5
384,0,0,0,3,0,0,0,1,7.30372335152e-07,5.89243465073e-10,1.18124437801e-10,0,-4.01949470622e-07,-1.33983156874e-07,0,0,0,1,2.04800009727,2.04800009727,128,0.5
384,0,0,0,3,0,0,0,1,7.30372335152e-07,5.89243465073e-10,1.18124437801e-10,0,-4.01949470622e-07,-1.33983156874e-07,0,0,0,1,2.30399990082,2.30399990082,128,0.5
384,0,0,0,3,0,0,0,1,7.30372335152e-07,5.89243465073e-10,1.18124437801e-10,0,-4.01949470622e-07,-1.33983156874e-07,0,0,0,1,2.55999994278,2.55999994278,128,0.5
384,0,0,0,3,0,0,0,1,7.30372335152e-07,5.89243465073e-10,1.18124437801e-10,0,-4.01949470622e-07,-1.33983156874e-07,0,0,0,1,2.81599998474,2.81599998474,128,0.5
384,0,0,0,3,0,0,0,1,7.30372712992e-07,8.2579332021e-10,1.18490355908e-10,0,-4.01949727724e-07,-1.33983242575e-07,0,0,0,1,3.0720000267,3.0720000267,128,0.5
384,0,0,0,3,0,0,0,1,7.30372712992e-07,8.2579332021e-10,1.18490355908e-10,0,-4.01949727724e-07,-1.33983242575e-07,0,0,0,1,3.32800006866,3.32800006866,128,0.5
384,0,0,0,3,0,0,0,1,7.30372712992e-07,8.2579332021e-10,1.18490355908e-10,0,-4.01949727724e-07,-1.33983242575e-07,0,0,0,1,3.58400011063,3.58400011063,128,0.5
384,0,0,0,3,0,0,0,1,7.30372712992e-07,8.2579332021e-10,1.18490355908e-10,0,-4.01949727724e-07,-1.33983242575e-07,0,0,0,1,3.83999991417,3.83999991417,128,0.5
384,0,0,0,3,0,0,0,1,7.3037321822e-07,1.06319727881e-09,1.18979628913e-10,0,-4.01950071537e-07,-1.33983357179e-07,0,0,0,1,4.09600019455,4.09600019455,128,0.5
384,0,0,0,3,0,0,0,1,7.3037321822e-07,1.06319727881e-09,1.18979628913e-10,0,-4.01950071537e-07,-1.33983357179e-07,0,0,0,1,4.35200023651,4.35200023651,128,0.5
