"flag","ADDITIONALS","BODY","BOUNDARY","COLLISION","DESIGNSPACE","SETTINGZONE","NONE","Rho","PhaseField","U:0","U:1","U:2","NormalizedPressure","Pressure","Normal:0","Normal:1","Normal:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
256,0,0,0,2,0,0,0,1,7.30371960468e-07,1.17759196315e-10,1.17791725014e-10,0,-4.0194753799e-07,-1.33982512663e-07,0,0,0,1,0,0,128,0.5
256,0,0,0,2,0,0,0,1,7.30371960468e-07,1.17759196315e-10,1.17791725014e-10,0,-4.0194753799e-07,-1.33982512663e-07,0,0,0,1,0.256000012159,0.256000012159,128,0.5
256,0,0,0,2,0,0,0,1,7.30371960468e-07,1.17759196315e-10,1.17791725014e-10,0,-4.0194753799e-07,-1.33982512663e-07,0,0,0,1,0.512000024319,0.512000024319,128,0.5
256,0,0,0,2,0,0,0,1,7.30371960468e-07,1.17759196315e-10,1.17791725014e-10,0,-4.0194753799e-07,-1.33982512663e-07,0,0,0,1,0.768000006676,0.768000006676,128,0.5
256,0,0,0,2,0,0,0,1,7.30372085999e-07,3.53399592127e-10,1.17913289132e-10,0,-4.01947623437e-07,-1.33982541146e-07,0,0,0,1,1.02400004864,1.02400004864,128,0.5
256,0,0,0,2,0,0,0,1,7.30372085999e-07,3.53399592127e-10,1.17913289132e-10,0,-4.01947623437e-07,-1.33982541146e-07,0,0,0,1,1.27999997139,1.27999997139,128,0.5
256,0,0,0,2,0,0,0,1,7.30372085999e-07,3.53399592127e-10,1.17913289132e-10,0,-4.01947623437e-07,-1.33982541146e-07,0,0,0,1,1.53600001335,1.53600001335,128,0.5
256,0,0,0,2,0,0,0,1,7.30372085999e-07,3.53399592127e-10,1.17913289132e-10,0,-4.01947623437e-07,-1.33982541146e-07,0,0,0,1,1.79200005531,1.79200005531,128,0.5
256,0,0,0,2,0,0,0,1,7.3037233737e-07,5.89404346588e-10,1.1815682759e-10,0,-4.01947794524e-07,-1.33982598175e-07,0,0,0,1,2.04800009727,2.04800009727,128,0.5
256,0,0,0,2,0,0,0,1,7.3037233737e-07,5.89404346588e-10,1.1815682759e-10,0,-4.01947794524e-07,-1.33982598175e-07,0,0,0,1,2.30399990082,2.30399990082,128,0.5
256,0,0,0,2,0,0,0,1,7.3037233737e-07,5.89404346588e-10,1.1815682759e-10,0,-4.01947794524e-07,-1.33982598175e-07,0,0,0,1,2.55999994278,2.55999994278,128,0.5
256,0,0,0,2,0,0,0,1,7.3037233737e-07,5.89404346588e-10,1.1815682759e-10,0,-4.01947794524e-07,-1.33982598175e-07,0,0,0,1,2.81599998474,2.81599998474,128,0.5
256,0,0,0,2,0,0,0,1,7.30372715196e-07,8.26018802862e-10,1.18522844444e-10,0,-4.01948051701e-07,-1.339826839e-07,0,0,0,1,3.0720000267,3.0720000267,128,0.5
256,0,0,0,2,0,0,0,1,7.30372715196e-07,8.26018802862e-10,1.18522844444e-10,0,-4.01948051701e-07,-1.339826839e-07,0,0,0,1,3.32800006866,3.32800006866,128,0.5
256,0,0,0,2,0,0,0,1,7.30372715196e-07,8.26018802862e-10,1.18522844444e-10,0,-4.01948051701e-07,-1.339826839e-07,0,0,0,1,3.58400011063,3.58400011063,128,0.5
256,0,0,0,2,0,0,0,1,7.30372715196e-07,8.26018802862e-10,1.18522844444e-10,0,-4.01948051701e-07,-1.339826839e-07,0,0,0,1,3.83999991417,3.83999991417,128,0.5
256,0,0,0,2,0,0,0,1,7.30373220405e-07,1.06348756634e-09,1.19012263422e-10,0,-4.01948395687e-07,-1.33982798562e-07,0,0,0,1,4.09600019455,4.09600019455,128,0.5
256,0,0,0,2,0,0,0,1,7.30373220405e-07,1.06348756634e-09,1.19012263422e-10,0,-4.01948395687e-07,-1.33982798562e-07,0,0,0,1,4.35200023651,4.35200023651,128,0.5
256,0,0,0,2,0,0,0,1,7.30373220405e-07,1.06348756634e-09,1.19012263422e-10,0,-4.01948395687e-07,-1.33982798562e-07,0,0,0,1,4.60799980164,4.60799980164,128,0.5
256,0,0,0,2,0,0,0,1,7.30373220405e-07,1.06348756634e-09,1.19012263422e-10,0,-4.01948395687e-07,-1.33982798562e-07,0,0,0,1,4.8639998436,4.8639998436,128,0.5
256,0,0,0,2,0,0,0,1,7.30373854238e-07,1.3020595725e-09,1.19626268925e-10,0,-4.01948827177e-07,-1.33982942392e-07,0,0,0,1,5.11999988556,5.11999988556,128,0.5
256,0,0,0,2,0,0,0,1,7.30373854238e-07,1.3020595725e-09,1.19626268925e-10,0,-4.01948827177e-07,-1.33982942392e-07,0,0,0,1,5.37599992752,5.37599992752,128,0.5
