"arc_length"	"U_Magnitude"
0	0
0.1	0
0.2	0
0.3	0
0.4	0
0.5	0
0.6	0
0.7	0
0.8	0
0.9	0
1	0
1.1	0.000416856
1.2	0.000416856
1.3	0.000416856
1.4	0.000416856
1.5	0.000416856
1.6	0.000416856
1.7	0.000416856
1.8	0.000416856
1.9	0.000416856
2	0.000416856
2.1	0.000643053
2.2	0.000643053
2.3	0.000643053
2.4	0.000643053
2.5	0.000643053
2.6	0.000643053
2.7	0.000643053
2.8	0.000643053
2.9	0.000643053
3	0.000643053
3.1	0.000866219
3.2	0.000866219
3.3	0.000866219
3.4	0.000866219
3.5	0.000866219
3.6	0.000866219
3.7	0.000866219
3.8	0.000866219
3.9	0.000866219
4	0.000866219
4.1	0.00108636
4.2	0.00108636
4.3	0.00108636
4.4	0.00108636
4.5	0.00108636
4.6	0.00108636
4.7	0.00108636
4.8	0.00108636
4.9	0.00108636
5	0.00108636
5.1	0.00130346
5.2	0.00130346
5.3	0.00130346
5.4	0.00130346
5.5	0.00130346
5.6	0.00130346
5.7	0.00130346
5.8	0.00130346
5.9	0.00130346
6	0.00130346
6.1	0.00151754
6.2	0.00151754
6.3	0.00151754
6.4	0.00151754
6.5	0.00151754
6.6	0.00151754
6.7	0.00151754
6.8	0.00151754
6.9	0.00151754
7	0.00151754
7.1	0.00172859
7.2	0.00172859
7.3	0.00172859
7.4	0.00172859
7.5	0.00172859
7.6	0.00172859
7.7	0.00172859
7.8	0.00172859
7.9	0.00172859
8	0.00172859
8.1	0.00193661
8.2	0.00193661
8.3	0.00193661
8.4	0.00193661
8.5	0.00193661
8.6	0.00193661
8.7	0.00193661
8.8	0.00193661
8.9	0.00193661
9	0.00193661
9.1	0.00214161
9.2	0.00214161
9.3	0.00214161
9.4	0.00214161
9.5	0.00214161
9.6	0.00214161
9.7	0.00214161
9.8	0.00214161
9.9	0.00214161
10	0.00214161
10.1	0.00234359
10.2	0.00234359
10.3	0.00234359
10.4	0.00234359
10.5	0.00234359
10.6	0.00234359
10.7	0.00234359
10.8	0.00234359
10.9	0.00234359
11	0.00234359
11.1	0.00254253
11.2	0.00254253
11.3	0.00254253
11.4	0.00254253
11.5	0.00254253
11.6	0.00254253
11.7	0.00254253
11.8	0.00254253
11.9	0.00254253
12	0.00254253
12.1	0.00273843
12.2	0.00273843
12.3	0.00273843
12.4	0.00273843
12.5	0.00273843
12.6	0.00273843
12.7	0.00273843
12.8	0.00273843
12.9	0.00273843
13	0.00273843
13.1	0.0029313
13.2	0.0029313
13.3	0.0029313
13.4	0.0029313
13.5	0.0029313
13.6	0.0029313
13.7	0.0029313
13.8	0.0029313
13.9	0.0029313
14	0.0029313
14.1	0.00312113
14.2	0.00312113
14.3	0.00312113
14.4	0.00312113
14.5	0.00312113
14.6	0.00312113
14.7	0.00312113
14.8	0.00312113
14.9	0.00312113
