"arc_length"	"U_X","U_Magnitude"
0	0	0
0.17	0	0
0.34	0	0
0.51	0	0
0.68	0	0
0.85	0	0
1.02	-3.71996e-07	0
1.19	-3.71996e-07	0
1.36	-3.71996e-07	0
1.53	-3.71996e-07	0
1.7	-3.71996e-07	0
1.87	-3.71996e-07	0
2.04	-1.0451e-06	0
2.21	-1.0451e-06	0
2.38	-1.0451e-06	0
2.55	-1.0451e-06	0
2.72	-1.0451e-06	0
2.89	-1.0451e-06	0
3.06	-1.6481e-06	0
3.23	-1.6481e-06	0
3.4	-1.6481e-06	0
3.57	-1.6481e-06	0
3.74	-1.6481e-06	0
3.91	-1.6481e-06	0
4.08	-2.1822e-06	0
4.25	-2.1822e-06	0
4.42	-2.1822e-06	0
4.59	-2.1822e-06	0
4.76	-2.1822e-06	0
4.93	-2.1822e-06	0
5.1	-2.64854e-06	0
5.27	-2.64854e-06	0
5.44	-2.64854e-06	0
5.61	-2.64854e-06	0
5.78	-2.64854e-06	0
5.95	-2.64854e-06	0
6.12	-3.04821e-06	0
6.29	-3.04821e-06	0
6.46	-3.04821e-06	0
6.63	-3.04821e-06	0
6.8	-3.04821e-06	0
6.97	-3.04821e-06	0
7.14	-3.38218e-06	0
7.31	-3.38218e-06	0
7.48	-3.38218e-06	0
7.65	-3.38218e-06	0
7.82	-3.38218e-06	0
7.99	-3.38218e-06	0
8.16	-3.65123e-06	0
8.33	-3.65123e-06	0
8.5	-3.65123e-06	0
8.67	-3.65123e-06	0
8.84	-3.65123e-06	0
9.01	-3.85597e-06	0
9.18	-3.85597e-06	0
9.35	-3.85597e-06	0
9.52	-3.85597e-06	0
9.69	-3.85597e-06	0
9.86	-3.85597e-06	0
10.03	-3.99679e-06	0
10.2	-3.99679e-06	0
10.37	-3.99679e-06	0
10.54	-3.99679e-06	0
10.71	-3.99679e-06	0
10.88	-3.99679e-06	0
11.05	-4.07384e-06	0
11.22	-4.07384e-06	0
11.39	-4.07384e-06	0
11.56	-4.07384e-06	0
11.73	-4.07384e-06	0
11.9	-4.07384e-06	0
12.07	-4.08709e-06	0
12.24	-4.08709e-06	0
12.41	-4.08709e-06	0
12.58	-4.08709e-06	0
12.75	-4.08709e-06	0
12.92	-4.08709e-06	0
13.09	-4.03631e-06	0
13.26	-4.03631e-06	0
13.43	-4.03631e-06	0
